ENSEMBL	ENTREZID	SYMBOL	GENENAME
ENSG00000151176	196463	PLBD2	phospholipase B domain containing 2
ENSG00000151208	9231	DLG5	discs large MAGUK scaffold protein 5
ENSG00000151224	4143	MAT1A	methionine adenosyltransferase 1A
ENSG00000151229	114134	SLC2A13	solute carrier family 2 member 13
ENSG00000151233	283464	GXYLT1	glucoside xylosyltransferase 1
ENSG00000151239	5756	TWF1	twinfilin actin binding protein 1
ENSG00000151240	22982	DIP2C	disco interacting protein 2 homolog C
ENSG00000151247	1977	EIF4E	eukaryotic translation initiation factor 4E
ENSG00000151276	9223	MAGI1	membrane associated guanylate kinase, WW and PDZ domain containing 1
ENSG00000151287	93081	TEX30	testis expressed 30
ENSG00000151292	1456	CSNK1G3	casein kinase 1 gamma 3
ENSG00000151304	153443	SRFBP1	serum response factor binding protein 1
ENSG00000151320	9472	AKAP6	A-kinase anchoring protein 6
ENSG00000151322	64067	NPAS3	neuronal PAS domain protein 3
ENSG00000151327	283635	FAM177A1	family with sequence similarity 177 member A1
ENSG00000151332	51562	MBIP	MAP3K12 binding inhibitory protein 1
ENSG00000151338	145282	MIPOL1	mirror-image polydactyly 1
ENSG00000151348	2132	EXT2	exostosin glycosyltransferase 2
ENSG00000151353	129787	TMEM18	transmembrane protein 18
ENSG00000151364	65987	KCTD14	potassium channel tetramerization domain containing 14
ENSG00000151366	4718	NDUFC2	NADH:ubiquinone oxidoreductase subunit C2
ENSG00000151376	10873	ME3	malic enzyme 3
ENSG00000151388	81792	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12
ENSG00000151413	80224	NUBPL	NUBP iron-sulfur cluster assembly factor, mitochondrial
ENSG00000151414	140609	NEK7	NIMA related kinase 7
ENSG00000151422	2241	FER	FER tyrosine kinase
ENSG00000151445	63894	VIPAS39	VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog
ENSG00000151458	57182	ANKRD50	ankyrin repeat domain containing 50
ENSG00000151461	26019	UPF2	UPF2 regulator of nonsense mediated mRNA decay
ENSG00000151465	8872	CDC123	cell division cycle 123
ENSG00000151466	132320	SCLT1	sodium channel and clathrin linker 1
ENSG00000151470	132321	C4orf33	chromosome 4 open reading frame 33
ENSG00000151474	55691	FRMD4A	FERM domain containing 4A
ENSG00000151490	5800	PTPRO	protein tyrosine phosphatase receptor type O
ENSG00000151491	2059	EPS8	epidermal growth factor receptor pathway substrate 8
ENSG00000151498	27034	ACAD8	acyl-CoA dehydrogenase family member 8
ENSG00000151500	29087	THYN1	thymocyte nuclear protein 1
ENSG00000151502	112936	VPS26B	VPS26, retromer complex component B
ENSG00000151503	23310	NCAPD3	non-SMC condensin II complex subunit D3
ENSG00000151532	143187	VTI1A	vesicle transport through interaction with t-SNAREs 1A
ENSG00000151552	5860	QDPR	quinoid dihydropteridine reductase
ENSG00000151553	57700	FHIP2A	FHF complex subunit HOOK interacting protein 2A
ENSG00000151572	121601	ANO4	anoctamin 4
ENSG00000151575	374618	TEX9	testis expressed 9
ENSG00000151576	79691	QTRT2	queuine tRNA-ribosyltransferase accessory subunit 2
ENSG00000151611	166785	MMAA	metabolism of cobalamin associated A
ENSG00000151612	152485	ZNF827	zinc finger protein 827
ENSG00000151623	4306	NR3C2	nuclear receptor subfamily 3 group C member 2
ENSG00000151632	1646	AKR1C2	aldo-keto reductase family 1 member C2
ENSG00000151650	27287	VENTX	VENT homeobox
ENSG00000151651	101	ADAM8	ADAM metallopeptidase domain 8
ENSG00000151655	3698	ITIH2	inter-alpha-trypsin inhibitor heavy chain 2
ENSG00000151657	22944	KIN	Kin17 DNA and RNA binding protein
ENSG00000151665	5281	PIGF	phosphatidylinositol glycan anchor biosynthesis class F
ENSG00000151687	150709	ANKAR	ankyrin and armadillo repeat containing
ENSG00000151689	3628	INPP1	inositol polyphosphate-1-phosphatase
ENSG00000151690	54842	MFSD6	major facilitator superfamily domain containing 6
ENSG00000151692	9781	RNF144A	ring finger protein 144A
ENSG00000151693	8853	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2
ENSG00000151694	6868	ADAM17	ADAM metallopeptidase domain 17
ENSG00000151702	2313	FLI1	Fli-1 proto-oncogene, ETS transcription factor
ENSG00000151704	3758	KCNJ1	potassium inwardly rectifying channel subfamily J member 1
ENSG00000151715	120224	TMEM45B	transmembrane protein 45B
ENSG00000151718	80014	WWC2	WW and C2 domain containing 2
ENSG00000151725	79682	CENPU	centromere protein U
ENSG00000151726	2180	ACSL1	acyl-CoA synthetase long chain family member 1
ENSG00000151729	291	SLC25A4	solute carrier family 25 member 4
ENSG00000151743	196394	AMN1	antagonist of mitotic exit network 1 homolog
ENSG00000151746	636	BICD1	BICD cargo adaptor 1
ENSG00000151748	60485	SAV1	salvador family WW domain containing protein 1
ENSG00000151773	160857	CCDC122	coiled-coil domain containing 122
ENSG00000151778	387923	SERP2	stress associated endoplasmic reticulum protein family member 2
ENSG00000151779	51594	NBAS	NBAS subunit of NRZ tethering complex
ENSG00000151789	79750	ZNF385D	zinc finger protein 385D
ENSG00000151806	60558	GUF1	GTP binding elongation factor GUF1
ENSG00000151812	341880	SLC35F4	solute carrier family 35 member F4
ENSG00000151834	2555	GABRA2	gamma-aminobutyric acid type A receptor subunit alpha2
ENSG00000151835	26278	SACS	sacsin molecular chaperone
ENSG00000151838	729665	CCDC175	coiled-coil domain containing 175
ENSG00000151849	55835	CENPJ	centromere protein J
ENSG00000151876	26272	FBXO4	F-box protein 4
ENSG00000151881	64417	TMEM267	transmembrane protein 267
ENSG00000151882	56477	CCL28	C-C motif chemokine ligand 28
ENSG00000151883	79668	PARP8	poly(ADP-ribose) polymerase family member 8
ENSG00000151893	143384	CACUL1	CDK2 associated cullin domain 1
ENSG00000151914	667	DST	dystonin
ENSG00000151917	221336	BEND6	BEN domain containing 6
ENSG00000151923	7073	TIAL1	TIA1 cytotoxic granule associated RNA binding protein like 1
ENSG00000151929	9531	BAG3	BAG cochaperone 3
ENSG00000151948	144423	GLT1D1	glycosyltransferase 1 domain containing 1
ENSG00000151967	29970	SCHIP1	schwannomin interacting protein 1
ENSG00000152034	84539	MCHR2	melanin concentrating hormone receptor 2
ENSG00000152049	23704	KCNE4	potassium voltage-gated channel subfamily E regulatory subunit 4
ENSG00000152056	130340	AP1S3	adaptor related protein complex 1 subunit sigma 3
ENSG00000152061	9910	RABGAP1L	RAB GTPase activating protein 1 like
ENSG00000152076	91409	CCDC74B	coiled-coil domain containing 74B
ENSG00000152078	148534	TLCD4	TLC domain containing 4
ENSG00000152082	80097	MZT2B	mitotic spindle organizing protein 2B
ENSG00000152086	112714	TUBA3E	tubulin alpha 3e
ENSG00000152102	130074	FAM168B	family with sequence similarity 168 member B
ENSG00000152104	5784	PTPN14	protein tyrosine phosphatase non-receptor type 14
ENSG00000152127	4249	MGAT5	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase
ENSG00000152128	81615	TMEM163	transmembrane protein 163
ENSG00000152133	253635	GPATCH11	G-patch domain containing 11
ENSG00000152137	26353	HSPB8	heat shock protein family B (small) member 8
ENSG00000152147	79833	GEMIN6	gem nuclear organelle associated protein 6
ENSG00000152154	130733	TMEM178A	transmembrane protein 178A
ENSG00000152193	79596	OBI1	ORC ubiquitin ligase 1
ENSG00000152207	57105	CYSLTR2	cysteinyl leukotriene receptor 2
ENSG00000152213	115761	ARL11	ADP ribosylation factor like GTPase 11
ENSG00000152214	6014	RIT2	Ras like without CAAX 2
ENSG00000152217	26040	SETBP1	SET binding protein 1
ENSG00000152219	120534	ARL14EP	ADP ribosylation factor like GTPase 14 effector protein
ENSG00000152223	57724	EPG5	ectopic P-granules 5 autophagy tethering factor
ENSG00000152229	9050	PSTPIP2	proline-serine-threonine phosphatase interacting protein 2
ENSG00000152234	498	ATP5F1A	ATP synthase F1 subunit alpha
ENSG00000152240	115106	HAUS1	HAUS augmin like complex subunit 1
ENSG00000152242	147339	C18orf25	chromosome 18 open reading frame 25
ENSG00000152253	57405	SPC25	SPC25 component of NDC80 kinetochore complex
ENSG00000152256	5163	PDK1	pyruvate dehydrogenase kinase 1
ENSG00000152270	5140	PDE3B	phosphodiesterase 3B
ENSG00000152284	83439	TCF7L1	transcription factor 7 like 1
ENSG00000152291	10618	TGOLN2	trans-golgi network protein 2
ENSG00000152292	284948	SH2D6	SH2 domain containing 6
ENSG00000152332	127933	UHMK1	U2AF homology motif kinase 1
ENSG00000152348	83734	ATG10	autophagy related 10
ENSG00000152359	134359	POC5	POC5 centriolar protein
ENSG00000152377	6695	SPOCK1	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1
ENSG00000152380	167555	FAM151B	family with sequence similarity 151 member B
ENSG00000152382	117143	TADA1	transcriptional adaptor 1
ENSG00000152404	143884	CWF19L2	CWF19 like cell cycle control factor 2
ENSG00000152409	133746	JMY	junction mediating and regulatory protein, p53 cofactor
ENSG00000152413	9456	HOMER1	homer scaffold protein 1
ENSG00000152422	7518	XRCC4	X-ray repair cross complementing 4
ENSG00000152430	66037	BOLL	boule homolog, RNA binding protein
ENSG00000152433	284306	ZNF547	zinc finger protein 547
ENSG00000152439	374928	ZNF773	zinc finger protein 773
ENSG00000152443	284309	ZNF776	zinc finger protein 776
ENSG00000152454	10172	ZNF256	zinc finger protein 256
ENSG00000152455	79723	SUV39H2	SUV39H2 histone lysine methyltransferase
ENSG00000152457	64421	DCLRE1C	DNA cross-link repair 1C
ENSG00000152463	55301	OLAH	oleoyl-ACP hydrolase
ENSG00000152464	10557	RPP38	ribonuclease P/MRP subunit p38
ENSG00000152465	9397	NMT2	N-myristoyltransferase 2
ENSG00000152467	284312	ZSCAN1	zinc finger and SCAN domain containing 1
ENSG00000152475	116412	ZNF837	zinc finger protein 837
ENSG00000152484	219333	USP12	ubiquitin specific peptidase 12
ENSG00000152492	152137	CCDC50	coiled-coil domain containing 50
ENSG00000152495	814	CAMK4	calcium/calmodulin dependent protein kinase IV
ENSG00000152503	55521	TRIM36	tripartite motif containing 36
ENSG00000152518	678	ZFP36L2	ZFP36 ring finger protein like 2
ENSG00000152520	255967	PAN3	poly(A) specific ribonuclease subunit PAN3
ENSG00000152527	130271	PLEKHH2	pleckstrin homology, MyTH4 and FERM domain containing H2
ENSG00000152556	5213	PFKM	phosphofructokinase, muscle
ENSG00000152558	114908	TMEM123	transmembrane protein 123
ENSG00000152578	2893	GRIA4	glutamate ionotropic receptor AMPA type subunit 4
ENSG00000152580	285313	IGSF10	immunoglobulin superfamily member 10
ENSG00000152582	79925	SPEF2	sperm flagellar 2
ENSG00000152583	8404	SPARCL1	SPARC like 1
ENSG00000152595	56955	MEPE	matrix extracellular phosphoglycoprotein
ENSG00000152601	4154	MBNL1	muscleblind like splicing regulator 1
ENSG00000152611	133690	CAPSL	calcyphosine like
ENSG00000152620	133686	NADK2	NAD kinase 2, mitochondrial
ENSG00000152642	23171	GPD1L	glycerol-3-phosphate dehydrogenase 1 like
ENSG00000152661	2697	GJA1	gap junction protein alpha 1
ENSG00000152669	10309	CCNO	cyclin O
ENSG00000152683	55676	SLC30A6	solute carrier family 30 member 6
ENSG00000152684	53918	PELO	pelota mRNA surveillance and ribosome rescue factor
ENSG00000152689	25780	RASGRP3	RAS guanyl releasing protein 3
ENSG00000152700	51128	SAR1B	secretion associated Ras related GTPase 1B
ENSG00000152705	347732	CATSPER3	cation channel sperm associated 3
ENSG00000152749	160897	GPR180	G protein-coupled receptor 180
ENSG00000152760	200132	DYNLT5	dynein light chain Tctex-type family member 5
ENSG00000152763	79819	DNAI4	dynein axonemal intermediate chain 4
ENSG00000152766	118932	ANKRD22	ankyrin repeat domain 22
ENSG00000152767	10160	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1
ENSG00000152778	24138	IFIT5	interferon induced protein with tetratricopeptide repeats 5
ENSG00000152779	387700	SLC16A12	solute carrier family 16 member 12
ENSG00000152782	53354	PANK1	pantothenate kinase 1
ENSG00000152784	56978	PRDM8	PR/SET domain 8
ENSG00000152785	651	BMP3	bone morphogenetic protein 3
ENSG00000152795	9987	HNRNPDL	heterogeneous nuclear ribonucleoprotein D like
ENSG00000152804	3087	HHEX	hematopoietically expressed homeobox
ENSG00000152818	7402	UTRN	utrophin
ENSG00000152822	2911	GRM1	glutamate metabotropic receptor 1
ENSG00000152894	5796	PTPRK	protein tyrosine phosphatase receptor type K
ENSG00000152904	9453	GGPS1	geranylgeranyl diphosphate synthase 1
ENSG00000152926	51351	ZNF117	zinc finger protein 117
ENSG00000152936	160492	LMNTD1	lamin tail domain containing 1
ENSG00000152939	153562	MARVELD2	MARVEL domain containing 2
ENSG00000152942	5884	RAD17	RAD17 checkpoint clamp loader component
ENSG00000152944	9412	MED21	mediator complex subunit 21
ENSG00000152952	5352	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
ENSG00000152954	140767	NRSN1	neurensin 1
ENSG00000152969	152789	JAKMIP1	janus kinase and microtubule interacting protein 1
ENSG00000152977	7545	ZIC1	Zic family member 1
ENSG00000152990	166647	ADGRA3	adhesion G protein-coupled receptor A3
ENSG00000153002	1360	CPB1	carboxypeptidase B1
ENSG00000153006	285672	SREK1IP1	SREK1 interacting protein 1
ENSG00000153015	10283	CWC27	CWC27 spliceosome associated cyclophilin
ENSG00000153029	3140	MR1	major histocompatibility complex, class I-related
ENSG00000153037	6728	SRP19	signal recognition particle 19
ENSG00000153044	64946	CENPH	centromere protein H
ENSG00000153046	9425	CDYL	chromodomain Y like
ENSG00000153048	23589	CARHSP1	calcium regulated heat stable protein 1
ENSG00000153060	146279	TEKT5	tektin 5
ENSG00000153064	55024	BANK1	B cell scaffold protein with ankyrin repeats 1
ENSG00000153066	51061	TXNDC11	thioredoxin domain containing 11
ENSG00000153071	1601	DAB2	DAB adaptor protein 2
ENSG00000153093	55289	ACOXL	acyl-CoA oxidase like
ENSG00000153094	10018	BCL2L11	BCL2 like 11
ENSG00000153107	64682	ANAPC1	anaphase promoting complex subunit 1
ENSG00000153113	831	CAST	calpastatin
ENSG00000153130	60592	SCOC	short coiled-coil protein
ENSG00000153132	1047	CLGN	calmegin
ENSG00000153140	1070	CETN3	centrin 3
ENSG00000153147	8467	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5
ENSG00000153157	221711	SYCP2L	synaptonemal complex protein 2 like
ENSG00000153162	654	BMP6	bone morphogenetic protein 6
ENSG00000153179	283349	RASSF3	Ras association domain family member 3
ENSG00000153187	3192	HNRNPU	heterogeneous nuclear ribonucleoprotein U
ENSG00000153201	5903	RANBP2	RAN binding protein 2
ENSG00000153207	25909	AHCTF1	AT-hook containing transcription factor 1
ENSG00000153208	10461	MERTK	MER proto-oncogene, tyrosine kinase
ENSG00000153214	84910	TMEM87B	transmembrane protein 87B
ENSG00000153234	4929	NR4A2	nuclear receptor subfamily 4 group A member 2
ENSG00000153237	130940	CCDC148	coiled-coil domain containing 148
ENSG00000153246	22925	PLA2R1	phospholipase A2 receptor 1
ENSG00000153250	5937	RBMS1	RNA binding motif single stranded interacting protein 1
ENSG00000153253	6328	SCN3A	sodium voltage-gated channel alpha subunit 3
ENSG00000153283	10225	CD96	CD96 molecule
ENSG00000153291	9481	SLC25A27	solute carrier family 25 member 27
ENSG00000153292	266977	ADGRF1	adhesion G protein-coupled receptor F1
ENSG00000153310	51571	CYRIB	CYFIP related Rac1 interactor B
ENSG00000153317	50807	ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1
ENSG00000153339	22878	TRAPPC8	trafficking protein particle complex subunit 8
ENSG00000153347	153643	FAM81B	family with sequence similarity 81 member B
ENSG00000153391	125476	INO80C	INO80 complex subunit C
ENSG00000153395	79888	LPCAT1	lysophosphatidylcholine acyltransferase 1
ENSG00000153404	153478	PLEKHG4B	pleckstrin homology and RhoGEF domain containing G4B
ENSG00000153406	57407	NMRAL1	NmrA like redox sensor 1
ENSG00000153443	124402	UBALD1	UBA like domain containing 1
ENSG00000153446	146556	C16orf89	chromosome 16 open reading frame 89
ENSG00000153485	26175	TMEM251	transmembrane protein 251
ENSG00000153487	3621	ING1	inhibitor of growth family member 1
ENSG00000153498	122258	SPACA7	sperm acrosome associated 7
ENSG00000153531	113622	ADPRHL1	ADP-ribosylhydrolase like 1
ENSG00000153551	112616	CMTM7	CKLF like MARVEL transmembrane domain containing 7
ENSG00000153558	25827	FBXL2	F-box and leucine rich repeat protein 2
ENSG00000153560	7342	UBP1	upstream binding protein 1
ENSG00000153561	64795	RMND5A	required for meiotic nuclear division 5 homolog A
ENSG00000153563	925	CD8A	CD8a molecule
ENSG00000153574	22934	RPIA	ribose 5-phosphate isomerase A
ENSG00000153714	286343	LURAP1L	leucine rich adaptor protein 1 like
ENSG00000153721	154043	CNKSR3	CNKSR family member 3
ENSG00000153767	2960	GTF2E1	general transcription factor IIE subunit 1
ENSG00000153774	10428	CFDP1	craniofacial development protein 1
ENSG00000153786	55625	ZDHHC7	zinc finger DHHC-type palmitoyltransferase 7
ENSG00000153789	339145	CIBAR2	CBY1 interacting BAR domain containing 2
ENSG00000153790	136895	C7orf31	chromosome 7 open reading frame 31
ENSG00000153802	9407	TMPRSS11D	transmembrane serine protease 11D
ENSG00000153814	221895	JAZF1	JAZF zinc finger 1
ENSG00000153815	80790	CMIP	c-Maf inducing protein
ENSG00000153820	80309	SPHKAP	SPHK1 interactor, AKAP domain containing
ENSG00000153822	3773	KCNJ16	potassium inwardly rectifying channel subfamily J member 16
ENSG00000153823	55022	PID1	phosphotyrosine interaction domain containing 1
ENSG00000153827	9320	TRIP12	thyroid hormone receptor interactor 12
ENSG00000153832	130888	FBXO36	F-box protein 36
ENSG00000153879	1054	CEBPG	CCAAT enhancer binding protein gamma
ENSG00000153885	79047	KCTD15	potassium channel tetramerization domain containing 15
ENSG00000153896	148103	ZNF599	zinc finger protein 599
ENSG00000153898	255231	MCOLN2	mucolipin TRP cation channel 2
ENSG00000153902	163175	LGI4	leucine rich repeat LGI family member 4
ENSG00000153904	23576	DDAH1	dimethylarginine dimethylaminohydrolase 1
ENSG00000153914	140890	SREK1	splicing regulatory glutamic acid and lysine rich protein 1
ENSG00000153922	1105	CHD1	chromodomain helicase DNA binding protein 1
ENSG00000153930	162282	ANKFN1	ankyrin repeat and fibronectin type III domain containing 1
ENSG00000153933	8526	DGKE	diacylglycerol kinase epsilon
ENSG00000153936	9653	HS2ST1	heparan sulfate 2-O-sulfotransferase 1
ENSG00000153944	124540	MSI2	musashi RNA binding protein 2
ENSG00000153956	781	CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1
ENSG00000153975	221302	ZUP1	zinc finger containing ubiquitin peptidase 1
ENSG00000153982	284161	GDPD1	glycerophosphodiester phosphodiesterase domain containing 1
ENSG00000153989	116150	NUS1	NUS1 dehydrodolichyl diphosphate synthase subunit
ENSG00000153993	223117	SEMA3D	semaphorin 3D
ENSG00000154001	5529	PPP2R5E	protein phosphatase 2 regulatory subunit B'epsilon
ENSG00000154016	10750	GRAP	GRB2 related adaptor protein
ENSG00000154027	26289	AK5	adenylate kinase 5
ENSG00000154040	26256	CABYR	calcium binding tyrosine phosphorylation regulated
ENSG00000154059	55364	IMPACT	impact RWD domain protein
ENSG00000154065	147463	ANKRD29	ankyrin repeat domain 29
ENSG00000154079	135154	SDHAF4	succinate dehydrogenase complex assembly factor 4
ENSG00000154080	83539	CHST9	carbohydrate sulfotransferase 9
ENSG00000154096	7070	THY1	Thy-1 cell surface antigen
ENSG00000154099	123872	DNAAF1	dynein axonemal assembly factor 1
ENSG00000154102	404550	C16orf74	chromosome 16 open reading frame 74
ENSG00000154114	219899	TBCEL	tubulin folding cofactor E like
ENSG00000154118	57338	JPH3	junctophilin 3
ENSG00000154122	56172	ANKH	ANKH inorganic pyrophosphate transport regulator
ENSG00000154124	90268	OTULIN	OTU deubiquitinase with linear linkage specificity
ENSG00000154127	84959	UBASH3B	ubiquitin associated and SH3 domain containing B
ENSG00000154134	64221	ROBO3	roundabout guidance receptor 3
ENSG00000154144	84897	TBRG1	transforming growth factor beta regulator 1
ENSG00000154153	54463	RETREG1	reticulophagy regulator 1
ENSG00000154162	1010	CDH12	cadherin 12
ENSG00000154174	9868	TOMM70	translocase of outer mitochondrial membrane 70
ENSG00000154175	25890	ABI3BP	ABI family member 3 binding protein
ENSG00000154188	284	ANGPT1	angiopoietin 1
ENSG00000154217	26207	PITPNC1	phosphatidylinositol transfer protein cytoplasmic 1
ENSG00000154222	200014	CC2D1B	coiled-coil and C2 domain containing 1B
ENSG00000154227	204219	CERS3	ceramide synthase 3
ENSG00000154229	5578	PRKCA	protein kinase C alpha
ENSG00000154237	79705	LRRK1	leucine rich repeat kinase 1
ENSG00000154240	201134	CEP112	centrosomal protein 112
ENSG00000154252	64090	GAL3ST2	galactose-3-O-sulfotransferase 2
ENSG00000154258	10350	ABCA9	ATP binding cassette subfamily A member 9
ENSG00000154262	23460	ABCA6	ATP binding cassette subfamily A member 6
ENSG00000154263	10349	ABCA10	ATP binding cassette subfamily A member 10
ENSG00000154265	23461	ABCA5	ATP binding cassette subfamily A member 5
ENSG00000154269	5169	ENPP3	ectonucleotide pyrophosphatase/phosphodiesterase 3
ENSG00000154274	55286	C4orf19	chromosome 4 open reading frame 19
ENSG00000154277	7345	UCHL1	ubiquitin C-terminal hydrolase L1
ENSG00000154305	375056	MIA3	MIA SH3 domain ER export factor 3
ENSG00000154309	84976	DISP1	dispatched RND transporter family member 1
ENSG00000154310	23043	TNIK	TRAF2 and NCK interacting kinase
ENSG00000154319	83648	FAM167A	family with sequence similarity 167 member A
ENSG00000154328	252969	NEIL2	nei like DNA glycosylase 2
ENSG00000154330	5239	PGM5	phosphoglucomutase 5
ENSG00000154342	89780	WNT3A	Wnt family member 3A
ENSG00000154358	84033	OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF
ENSG00000154359	91694	LONRF1	LON peptidase N-terminal domain and ring finger 1
ENSG00000154370	81559	TRIM11	tripartite motif containing 11
ENSG00000154380	55740	ENAH	ENAH actin regulator
ENSG00000154429	126731	CCSAP	centriole, cilia and spindle associated protein
ENSG00000154438	136991	ASZ1	ankyrin repeat, SAM and basic leucine zipper domain containing 1
ENSG00000154447	57630	SH3RF1	SH3 domain containing ring finger 1
ENSG00000154451	115362	GBP5	guanylate binding protein 5
ENSG00000154473	9184	BUB3	BUB3 mitotic checkpoint protein
ENSG00000154479	129881	CFAP210	cilia and flagella associated protein 210
ENSG00000154485	118856	MMP21	matrix metallopeptidase 21
ENSG00000154511	388650	DIPK1A	divergent protein kinase domain 1A
ENSG00000154518	518	ATP5MC3	ATP synthase membrane subunit c locus 3
ENSG00000154529	728577	CNTNAP3B	contactin associated protein family member 3B
ENSG00000154548	135295	SRSF12	serine and arginine rich splicing factor 12
ENSG00000154553	27295	PDLIM3	PDZ and LIM domain 3
ENSG00000154556	8470	SORBS2	sorbin and SH3 domain containing 2
ENSG00000154582	6921	ELOC	elongin C
ENSG00000154589	23643	LY96	lymphocyte antigen 96
ENSG00000154639	1525	CXADR	CXADR Ig-like cell adhesion molecule
ENSG00000154640	10950	BTG3	BTG anti-proliferation factor 3
ENSG00000154642	54149	C21orf91	chromosome 21 open reading frame 91
ENSG00000154645	140578	CHODL	chondrolectin
ENSG00000154654	4685	NCAM2	neural cell adhesion molecule 2
ENSG00000154655	91133	L3MBTL4	L3MBTL histone methyl-lysine binding protein 4
ENSG00000154678	5137	PDE1C	phosphodiesterase 1C
ENSG00000154710	27342	RABGEF1	RAB guanine nucleotide exchange factor 1
ENSG00000154719	54148	MRPL39	mitochondrial ribosomal protein L39
ENSG00000154721	58494	JAM2	junctional adhesion molecule 2
ENSG00000154723	522	ATP5PF	ATP synthase peripheral stalk subunit F6
ENSG00000154727	2551	GABPA	GA binding protein transcription factor subunit alpha
ENSG00000154734	9510	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1
ENSG00000154743	80746	TSEN2	tRNA splicing endonuclease subunit 2
ENSG00000154760	146857	SLFN13	schlafen family member 13
ENSG00000154767	7508	XPC	XPC complex subunit, DNA damage recognition and repair factor
ENSG00000154781	51244	CCDC174	coiled-coil domain containing 174
ENSG00000154783	152273	FGD5	FYVE, RhoGEF and PH domain containing 5
ENSG00000154803	201163	FLCN	folliculin
ENSG00000154813	285381	DPH3	diphthamide biosynthesis 3
ENSG00000154814	92106	OXNAD1	oxidoreductase NAD binding domain containing 1
ENSG00000154822	23228	PLCL2	phospholipase C like 2
ENSG00000154832	30827	CXXC1	CXXC finger protein 1
ENSG00000154839	220134	SKA1	spindle and kinetochore associated complex subunit 1
ENSG00000154845	9989	PPP4R1	protein phosphatase 4 regulatory subunit 1
ENSG00000154856	147495	APCDD1	APC down-regulated 1
ENSG00000154864	63895	PIEZO2	piezo type mechanosensitive ion channel component 2
ENSG00000154889	65258	MPPE1	metallophosphoesterase 1
ENSG00000154914	124739	USP43	ubiquitin specific peptidase 43
ENSG00000154917	51560	RAB6B	RAB6B, member RAS oncogene family
ENSG00000154920	146956	EME1	essential meiotic structure-specific endonuclease 1
ENSG00000154928	2047	EPHB1	EPH receptor B1
ENSG00000154930	84532	ACSS1	acyl-CoA synthetase short chain family member 1
ENSG00000154945	91369	ANKRD40	ankyrin repeat domain 40
ENSG00000154957	7566	ZNF18	zinc finger protein 18
ENSG00000154978	81552	VOPP1	VOPP1 WW domain binding protein
ENSG00000154997	346288	SEPTIN14	septin 14
ENSG00000155008	139322	APOOL	apolipoprotein O like
ENSG00000155016	113612	CYP2U1	cytochrome P450 family 2 subfamily U member 1
ENSG00000155026	222967	RSPH10B	radial spoke head 10 homolog B
ENSG00000155034	80028	FBXL18	F-box and leucine rich repeat protein 18
ENSG00000155052	129684	CNTNAP5	contactin associated protein family member 5
ENSG00000155066	150696	PROM2	prominin 2
ENSG00000155085	221264	AK9	adenylate kinase 9
ENSG00000155090	7071	KLF10	Kruppel like factor 10
ENSG00000155093	5799	PTPRN2	protein tyrosine phosphatase receptor type N2
ENSG00000155096	51582	AZIN1	antizyme inhibitor 1
ENSG00000155097	528	ATP6V1C1	ATPase H+ transporting V1 subunit C1
ENSG00000155099	55529	PIP4P2	phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2
ENSG00000155100	51633	OTUD6B	OTU deubiquitinase 6B
ENSG00000155111	23097	CDK19	cyclin dependent kinase 19
ENSG00000155115	112495	GTF3C6	general transcription factor IIIC subunit 6
ENSG00000155158	158219	TTC39B	tetratricopeptide repeat domain 39B
ENSG00000155189	55326	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5
ENSG00000155229	64210	MMS19	MMS19 homolog, cytosolic iron-sulfur assembly component
ENSG00000155252	55361	PI4K2A	phosphatidylinositol 4-kinase type 2 alpha
ENSG00000155254	83742	MARVELD1	MARVEL domain containing 1
ENSG00000155256	118813	ZFYVE27	zinc finger FYVE-type containing 27
ENSG00000155265	401647	GOLGA7B	golgin A7 family member B
ENSG00000155269	27201	GPR78	G protein-coupled receptor 78
ENSG00000155275	152992	TRMT44	tRNA methyltransferase 44 homolog
ENSG00000155287	81894	SLC25A28	solute carrier family 25 member 28
ENSG00000155304	6782	HSPA13	heat shock protein family A (Hsp70) member 13
ENSG00000155307	64092	SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1
ENSG00000155313	29761	USP25	ubiquitin specific peptidase 25
ENSG00000155324	65983	GRAMD2B	GRAM domain containing 2B
ENSG00000155329	54819	ZCCHC10	zinc finger CCHC-type containing 10
ENSG00000155330	388272	C16orf87	chromosome 16 open reading frame 87
ENSG00000155363	4343	MOV10	Mov10 RISC complex RNA helicase
ENSG00000155366	389	RHOC	ras homolog family member C
